commodity,year,exporterISO,exporterName,importerISO,importerName,exp_A_to_B,imp_B_from_A,abs_gap,abs_vs_relative_x,abs_vs_relative_y,mismatch_pct,exp_to_imp_ratio,exp_to_imp_ratio_zero_inclusive,exp_to_imp_ratio_case,reverse_row_present,is_suspicious,reason,severity,source_file
ores_HS26,2022,MYS,Malaysia,EGY,Egypt,0.0,4250463.787,4250463.787,4250463.787,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,IDN,Indonesia,ARE,United Arab Emirates,0.0,4248654.0,4248654.0,4248654.0,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,ESP,Spain,SWE,Sweden,32377708.482,28129307.853,4248400.629000001,4248400.629000001,1.15103111143728,13.121375255329907,1.15103111143728,1.15103111143728,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,SWE,Sweden,ARG,Argentina,4243940.512,0.0,4243940.512,4243940.512,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,BGR,Bulgaria,CZE,Czechia,4279693.372,38299.647,4241393.725000001,4241393.725000001,111.74237120253356,99.10508432098018,111.74237120253356,111.74237120253356,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,MOZ,Mozambique,MEX,Mexico,4241000.0,0.0,4241000.0,4241000.0,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,BEL,Belgium,FIN,Finland,4619916.654,8855623.428,4235706.773999999,4235706.773999999,1.916836188014919,47.83070111820025,0.5216929888179974,0.5216929888179974,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,GRC,Greece,GIN,Guinea,0.0,4235566.934,4235566.934,4235566.934,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,VNM,Viet Nam,ESP,Spain,0.0,4235169.806,4235169.806,4235169.806,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,GEO,Georgia,FRA,France,0.0,4231098.139,4231098.139,4231098.139,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,SVK,Slovakia,CZE,Czechia,1960708.502,6190376.794,4229668.291999999,4229668.291999999,3.1572142354080532,68.32650794535786,0.3167349205464213,0.3167349205464213,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,ESP,Spain,FRA,France,16627100.82,12397844.868,4229255.952,4229255.952,1.341128316818684,25.435919333049423,1.341128316818684,1.341128316818684,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,SVN,Slovenia,BEL,Belgium,133693.426,4359467.175,4225773.749,4225773.749,32.60793971275745,96.93326223978278,0.03066737760217222,0.03066737760217222,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2024,SVK,Slovakia,POL,Poland,5488265.324,9713532.278,4225266.954000001,4225266.954000001,1.7698729388178538,43.49876886258699,0.5650123113741301,0.5650123113741301,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,USA,United States of America,DOM,Dominican Republic,1019133.0,5243909.0,4224776.0,4224776.0,5.145460896664125,80.56539501352903,0.1943460498647097,0.1943460498647097,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2021,IND,India,LKA,Sri Lanka,92546.863,4308538.083,4215991.22,4215991.22,46.55520396191062,97.85201241773497,0.021479875822650353,0.021479875822650353,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,BRA,Brazil,COL,Colombia,4213604.0,0.0,4213604.0,4213604.0,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,ROU,Romania,SRB,Serbia,837400.54,5050128.94,4212728.4,4212728.4,6.030720902090653,83.41823446591049,0.1658176553408951,0.1658176553408951,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,LTU,Lithuania,UKR,Ukraine,1998.0,4210990.0,4208992.0,4208992.0,2107.6026026026025,99.95255272513116,0.0004744727486885507,0.0004744727486885507,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,CZE,Czechia,BGR,Bulgaria,227711.0,4430034.0,4202323.0,4202323.0,19.45463328517287,94.85983629019552,0.05140163709804484,0.05140163709804484,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,PER,Peru,TUR,Türkiye,0.0,4201147.32,4201147.32,4201147.32,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,PRT,Portugal,CHN,China,5005421.314,804594.925,4200826.389,4200826.389,6.221045097941675,83.92553044936349,6.221045097941675,6.221045097941675,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,ZAF,South Africa,EST,Estonia,4200281.529,0.0,4200281.529,4200281.529,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,GRC,Greece,FIN,Finland,4199104.523,0.0,4199104.523,4199104.523,1.0,100.0,inf,inf,positive_over_zero_or_missing,False,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2023,DEU,Germany,GBR,United Kingdom of Great Britain and Northern Ireland,11402971.736,7203985.938,4198985.7979999995,4198985.7979999995,1.5828697937694391,36.82360962751052,1.5828697937694391,1.5828697937694391,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,TUR,Türkiye,AUS,Australia,14985934.0,19183028.0,4197094.0,4197094.0,1.2800688966066447,21.879204888821516,0.7812079511117849,0.7812079511117849,finite,True,True,high_abs_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,NAM,Namibia,ESP,Spain,4196137.042,1028.053,4195108.989,4195108.989,4081.6349371092733,99.97550001370999,4081.6349371092733,4081.6349371092733,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,NOR,Norway,AUS,Australia,0.0,4194913.672,4194913.672,4194913.672,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,DEU,Germany,MKD,North Macedonia,113026.011,4305702.194,4192676.183,4192676.183,38.094790357593,97.37496914771529,0.02625030852284718,0.02625030852284718,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,DEU,Germany,SRB,Serbia,78846.393,4268541.826,4189695.433,4189695.433,54.13743943873248,98.15284946911517,0.018471505308848293,0.018471505308848293,finite,True,True,high_abs_gap|high_pct_gap,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,KWT,Kuwait,JPN,Japan,0.0,4188707.93,4188707.93,4188707.93,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2022,GRC,Greece,NAM,Namibia,4182126.822,0.0,4182126.822,4182126.822,1.0,100.0,inf,inf,positive_over_zero_or_missing,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
ores_HS26,2020,DEU,Germany,TZA,United Republic of Tanzania,0.0,4181280.193,4181280.193,4181280.193,1.0,100.0,0.0,0.0,finite,True,True,high_abs_gap|high_pct_gap|one_side_zero,high,ores_HS26_country_pairs_2020_2024.csv
