code,name,role
MWI,Malawi,un_member_in_un_un_pairs
MYS,Malaysia,un_member_in_un_un_pairs
NAM,Namibia,un_member_in_un_un_pairs
NER,Niger,un_member_in_un_un_pairs
NGA,Nigeria,un_member_in_un_un_pairs
NIC,Nicaragua,un_member_in_un_un_pairs
NLD,Netherlands,un_member_in_un_un_pairs
NOR,Norway,un_member_in_un_un_pairs
NPL,Nepal,un_member_in_un_un_pairs
NRU,Nauru,un_member_in_un_un_pairs
NZL,New Zealand,un_member_in_un_un_pairs
OMN,Oman,un_member_in_un_un_pairs
PAK,Pakistan,un_member_in_un_un_pairs
PAN,Panama,un_member_in_un_un_pairs
PER,Peru,un_member_in_un_un_pairs
PHL,Philippines,un_member_in_un_un_pairs
PLW,Palau,un_member_in_un_un_pairs
PNG,Papua New Guinea,un_member_in_un_un_pairs
POL,Poland,un_member_in_un_un_pairs
PRK,"Korea, Democratic People's Republic of",un_member_in_un_un_pairs
PRT,Portugal,un_member_in_un_un_pairs
PRY,Paraguay,un_member_in_un_un_pairs
QAT,Qatar,un_member_in_un_un_pairs
ROU,Romania,un_member_in_un_un_pairs
RUS,Russian Federation,un_member_in_un_un_pairs
RWA,Rwanda,un_member_in_un_un_pairs
SAU,Saudi Arabia,un_member_in_un_un_pairs
SDN,Sudan,un_member_in_un_un_pairs
SEN,Senegal,un_member_in_un_un_pairs
SGP,Singapore,un_member_in_un_un_pairs
SLB,Solomon Islands,un_member_in_un_un_pairs
SLE,Sierra Leone,un_member_in_un_un_pairs
SLV,El Salvador,un_member_in_un_un_pairs
SMR,San Marino,un_member_in_un_un_pairs
SOM,Somalia,un_member_in_un_un_pairs
SRB,Serbia,un_member_in_un_un_pairs
SSD,South Sudan,un_member_in_un_un_pairs
STP,Sao Tome and Principe,un_member_in_un_un_pairs
SUR,Suriname,un_member_in_un_un_pairs
SVK,Slovakia,un_member_in_un_un_pairs
SVN,Slovenia,un_member_in_un_un_pairs
SWE,Sweden,un_member_in_un_un_pairs
SWZ,Eswatini,un_member_in_un_un_pairs
SYC,Seychelles,un_member_in_un_un_pairs
SYR,Syrian Arab Republic,un_member_in_un_un_pairs
TCD,Chad,un_member_in_un_un_pairs
TGO,Togo,un_member_in_un_un_pairs
THA,Thailand,un_member_in_un_un_pairs
TJK,Tajikistan,un_member_in_un_un_pairs
TKM,Turkmenistan,un_member_in_un_un_pairs
TLS,Timor-Leste,un_member_in_un_un_pairs
TON,Tonga,un_member_in_un_un_pairs
TTO,Trinidad and Tobago,un_member_in_un_un_pairs
TUN,Tunisia,un_member_in_un_un_pairs
TUR,Türkiye,un_member_in_un_un_pairs
TUV,Tuvalu,un_member_in_un_un_pairs
TZA,United Republic of Tanzania,un_member_in_un_un_pairs
UGA,Uganda,un_member_in_un_un_pairs
UKR,Ukraine,un_member_in_un_un_pairs
URY,Uruguay,un_member_in_un_un_pairs
USA,United States of America,un_member_in_un_un_pairs
UZB,Uzbekistan,un_member_in_un_un_pairs
VCT,Saint Vincent and the Grenadines,un_member_in_un_un_pairs
VEN,Venezuela (Bolivarian Republic of),un_member_in_un_un_pairs
VNM,Viet Nam,un_member_in_un_un_pairs
VUT,Vanuatu,un_member_in_un_un_pairs
WSM,Samoa,un_member_in_un_un_pairs
YEM,Yemen,un_member_in_un_un_pairs
ZAF,South Africa,un_member_in_un_un_pairs
ZMB,Zambia,un_member_in_un_un_pairs
ZWE,Zimbabwe,un_member_in_un_un_pairs
